2	1	1	1	1	1
4	1.6	1.587371512	2.263984081	3.805732484	2.291994625
6	1.9	2.271169848	3.437762547	6.344745223	4.07640622
8	4.2	30.98042095	15.76674773	16.0366242	15.63755039
10	6.85	69.66568771	45.70130444	53.35589172	46.82357458
12	10.85	133.6935879	85.42383374	113.4291401	81.34709157
14	17.65	248.8311307	183.4242759	136.9952229	189.023421
16	24.05	482.9809104	419.3530842	273.0740446	450.2215396
